movie_id,cast_name,cast_id,order
902,Joseph Lucien,1653016,13
902,Mapi Galán,103119,14
902,Briac Barthélémy,1653017,15
902,Pierre-Quentin Faesch,1653018,16
902,Alexis Pivot,131998,17
902,François Hadji-Lazaro,77904,18
902,Dominique Bettenfeld,28462,19
902,Lotfi Yahya Jedidi,77905,20
902,Thierry Gibault,240388,21
902,Marc Caro,13680,22
902,Ham-Chau Luong,992717,23
902,Frankie Pain,17618,24
902,Enrique Villanueva,1323011,25
902,Dominique Chevalier,97062,26
902,Lorella Cravotta,2409,27
902,Éric Houzelot,580580,28
902,Philippe Beautier,1176105,29
902,Marc Amyot,1336073,30
902,Jean-Philippe Labadie,566292,31
902,Raphaèle Bouchard,1048762,32
902,Elisabeth Etienne,1330767,33
902,Rachel Boulenger,1529774,34
902,Michel Motu,1242620,35
902,Nane Germon,9745,36
9909,Michelle Pfeiffer,1160,0
9909,George Dzundza,10477,1
9909,Courtney B. Vance,24047,2
9909,Robin Bartlett,11902,3
9909,John Neville,12642,4
9909,Beatrice Winde,168638,5
9909,Lorraine Toussaint,81726,6
9909,Renoly Santiago,28863,7
9909,Wade Dominguez,975133,8
9909,Bruklin Harris,188642,9
9909,Mercello Thedford,1074671,10
9909,Roberto Alvarez,156637,11
9909,Richard Grant,190913,12
9909,Marisela Gonzales,1074672,13
9909,Toni Nichelle Buzhardt,1074673,14
63,Bruce Willis,62,0
63,Madeleine Stowe,289,1
63,Brad Pitt,287,2
63,Christopher Plummer,290,3
63,David Morse,52,4
63,Jon Seda,288,5
63,Frank Gorshin,291,6
63,Joseph Melito,975569,7
63,Aaron Michael Lacey,1273540,8
63,Christopher Meloni,22227,9
63,Joey Perillo,1318900,10
63,LisaGay Hamilton,534231,11
63,Matt Ross,11154,12
63,Annie Golden,66094,13
63,Michael Chance,1077231,14
63,Vernon Campbell,1571784,15
63,H. Michael Walls,1571785,16
63,Bob Adrian,1328063,17
63,Simon Jones,37891,18
63,Carol Florence,1077235,19
63,Bill Raymond,7576,20
63,Ernest Abuba,59112,21
63,Irma St. Paule,155573,22
63,Rozwill Young,1571787,23
63,Nell Johnson,1571788,24
63,Frederick Strother,292,25
63,Charles Techman,127069,26
63,Rick Warner,163795,27
63,Anthony 'Chip' Brienza,1387844,28
63,Bruce Kirkpatrick,1217615,29
63,Wilfred Williams,1571786,30
63,Joilet Harris,1607131,31
63,Drucie McDaniel,32800,32
63,John Blaisse,1607135,33
63,Louis Lippa,1607137,34
63,Stan Kang,1607142,35
63,Pat Dias,1607143,36
63,Felix Pire,1542805,37
63,Karl Warren,1607146,38
63,Joseph McKenna,141458,39
63,Stephen Bridgewater,81692,40
63,Ray Huffman,1607153,41
63,Charley Scalies,1218075,42
63,Robert O'Neill,1607159,43
63,Paul Meshejian,1607160,44
63,Kevin Thigpen,171294,45
63,Harry O'Toole,1039871,46
63,Jann Ellis,1611167,47
63,Michael Ryan Segal,131007,48
63,Korchenko,1607168,49
63,Chuck Jeffreys,933507,50
63,Barry Price,1611166,51
63,John Panzarella,60569,52
63,Janet Zappala,1611170,53
63,Lisa Talerico,568367,54
63,Tiffany Baldwin,1607174,55
63,C.J. Byrnes,7528,56
63,Tom Detrik,1298410,57
63,Joe Gerety,1611142,58
63,Renee Spei,1611143,59
63,Bonnie Loev,1611164,60
63,Raymond Mamrak,1106629,61
63,Sal Mazzotta,127620,62
63,Allelon Ruggiero,2696,63
63,Thang,1611197,64
9598,Christine Cavanaugh,58136,0
9598,Miriam Margolyes,6199,1
9598,Danny Mann,52699,2
9598,Hugo Weaving,1331,3
9598,Miriam Flynn,35109,4
9598,James Cromwell,2505,5
9598,Russi Taylor,6035,6
9598,Evelyn Krape,1080206,7
9598,Michael Edward-Stevens,1080207,8
9598,Charles Bartlett,1229258,9
9598,Paul Livingston,61351,10
9598,Roscoe Lee Browne,24368,11
9598,Magda Szubanski,45586,12
9598,Zoe Burton,1080208,13
9598,Paul Goddard,9380,14
9598,Wade Hayward,1080209,15
9598,Brittany Byrnes,210276,16
9598,Mary Acres,75934,17
687,Susan Sarandon,4038,0
687,Sean Penn,2228,1
687,Robert Prosky,10360,2
687,Raymond J. Barry,10361,3
687,R. Lee Ermey,8655,4
687,Celia Weston,1989,5
687,Lois Smith,2207,6
687,Scott Wilson,6914,7
687,Roberta Maxwell,10362,8
687,Margo Martindale,452,9
687,Jack Black,70851,10
687,Ray Aranha,10366,11
687,Peter Sarsgaard,133,12
687,Barton Heyman,79732,13
687,Steve Boles,1183429,14
687,Nesbitt Blaisdell,21152,15
687,Larry Pine,19511,16
687,Kevin Cooney,25711,17
687,Clancy Brown,6574,18
687,Michael Cullen,1232566,19
687,Missy Yager,51384,20
687,Jenny Krochmal,1237883,21
687,Jon Abrahams,17866,22
687,Arthur Bridgers,1223451,23
687,Steve Carlisle,95940,24
687,Eva Amurri Martino,56757,25
687,Jack Henry Robbins,1366946,26
687,Dennis Neal,93679,27
687,Molly Bryant,62570,28
687,Adele Robbins,1591178,29
687,Pete Burris,1371000,30
687,Joan Glover,1407052,31
687,Lenore Banks,20765,32
687,Scott Sowers,32287,33
687,Cortez Nance Jr.,75611,34
687,Adam Nelson,4732,35
687,Jeremy Knaster,108147,36
687,Marcus Lyle Brown,16460,37
687,Anthony Michael Frederick,1411679,38
687,Thomas McGowan,1191341,39
687,Codie Scott,1463362,40
687,Helen Prejean,10298,41
33689,Kirstie Alley,1796,0
33689,Steve Guttenberg,26472,1
