movie_id,genre
68,Science Fiction
679,Horror
679,Action
679,Thriller
679,Science Fiction
429,Western
13446,Comedy
13446,Drama
389,Drama
947,Adventure
947,Drama
947,History
947,War
185,Science Fiction
185,Drama
595,Crime
595,Drama
28,Drama
28,War
335,Western
1892,Adventure
1892,Action
1892,Science Fiction
144,Drama
144,Fantasy
144,Romance
1092,Thriller
1092,Mystery
769,Drama
769,Crime
348,Horror
348,Action
348,Thriller
348,Science Fiction
766,Fantasy
766,Horror
766,Comedy
175,Adventure
175,Drama
175,Romance
11645,Action
11645,Drama
11645,History
10835,Action
10835,Crime
10835,Drama
10835,Thriller
539,Drama
539,Horror
539,Thriller
525,Music
525,Comedy
525,Action
525,Crime
240,Drama
240,Crime
600,Drama
600,War
279,Drama
279,History
279,Music
3109,Comedy
3109,Drama
3109,Romance
311,Drama
311,Crime
1578,Drama
703,Comedy
703,Drama
703,Romance
9549,Drama
9549,History
1398,Drama
1398,Science Fiction
1398,Thriller
387,Action
387,Drama
387,History
387,War
387,Adventure
9277,Comedy
9277,Crime
9277,Drama
343,Comedy
343,Drama
343,Romance
490,Fantasy
490,Drama
218,Action
218,Thriller
218,Science Fiction
763,Horror
763,Comedy
9665,War
696,Comedy
696,Drama
696,Romance
379,Drama
379,Thriller
379,Crime
207,Drama
37247,Drama
1480,Drama
1480,Thriller
1480,Crime
9322,Action
9322,Thriller
826,Drama
826,History
826,War
422,Fantasy
422,Drama
829,Crime
829,Drama
829,Mystery
829,Thriller
828,Drama
828,Science Fiction
828,Thriller
3090,Action
3090,Adventure
3090,Drama
3090,Western
9964,Action
9964,Comedy
9964,Horror
9964,Science Fiction
3063,Comedy
13667,Comedy
694,Horror
694,Thriller
235,Crime
235,Drama
832,Drama
832,Action
832,Thriller
832,Crime
765,Horror
765,Comedy
765,Fantasy
5925,Adventure
5925,Drama
5925,History
5925,Thriller
5925,War
11778,Drama
11778,War
137,Romance
137,Fantasy
137,Drama
137,Comedy
33,Western
982,Mystery
982,Thriller
212,Comedy
212,Crime
105,Adventure
105,Comedy
105,Science Fiction
105,Family
1633,Drama
1633,Comedy
11202,Drama
11202,History
11202,War
1554,Crime
1554,Drama
1554,Comedy
149,Science Fiction
149,Animation
8009,Adventure
8009,Action
8009,Fantasy
903,Crime
903,Drama
11673,Drama
11673,Comedy
11673,History
11673,Romance
3034,Comedy
3034,Science Fiction
339,Comedy
339,Drama
10404,Drama
914,Comedy
756,Animation
756,Family
756,Music
288,Western
910,Crime
910,Drama
910,Mystery
910,Thriller
2640,Thriller
2640,Comedy
2640,Drama
16633,Science Fiction
16633,Drama
16633,Fantasy
16633,Romance
665,Action
665,Adventure
665,Drama
665,History
11031,Comedy
11031,Music
15143,Drama
15143,Romance
89,Adventure
89,Action
10322,Comedy
10322,Drama
783,Drama
783,History
11257,Drama
11257,Romance
14370,Comedy
14370,Romance
12104,Music
625,War
625,Drama
625,History
830,Adventure
830,Science Fiction
830,Action
2323,Drama
2323,Fantasy
983,Adventure
983,Drama
642,History
642,Drama
642,Western
642,Crime
655,Drama
639,Comedy
639,Romance
639,Drama
8077,Science Fiction
8077,Action
8077,Horror
814,Horror
814,Comedy
11449,Drama
11449,Horror
11449,Thriller
571,Horror
8851,Horror
8851,Science Fiction
6114,Romance
6114,Horror
229,Horror
229,Science Fiction
9529,Drama
9529,Horror
9529,Thriller
1598,Crime
1598,Thriller
11349,Drama
11349,Thriller
7340,Horror
7340,Thriller
377,Horror
653,Fantasy
653,Horror
794,Horror
794,Thriller
145,Drama
145,Romance
2212,Action
2212,Drama
2212,Horror
2212,Mystery
2212,Thriller
199,Science Fiction
199,Action
199,Adventure
199,Thriller
7863,Drama
12498,Drama
9279,Family
9279,Comedy
20539,Drama
20539,History
11674,Comedy
11674,Family
1573,Action
1573,Thriller
152,Science Fiction
152,Adventure
152,Mystery
174,Science Fiction
174,Action
174,Adventure
174,Thriller
172,Science Fiction
172,Action
172,Adventure
172,Thriller
154,Action
154,Adventure
154,Science Fiction
154,Thriller
157,Science Fiction
157,Action
157,Adventure
157,Thriller
168,Science Fiction
168,Adventure
364,Action
364,Fantasy
11967,Crime
11967,Action
11967,Adventure
11967,Drama
11967,Western
9086,Western
9086,Adventure
621,Romance
9037,Comedy
9037,Drama
9037,Family
9037,Music
9037,Romance
10173,Action
10173,Thriller
8845,Action
8845,Thriller
578,Horror
578,Thriller
578,Adventure
579,Horror
579,Thriller
17692,Thriller
17692,Horror
75,Comedy
75,Fantasy
75,Science Fiction
9390,Comedy
9390,Drama
9390,Romance
378,Comedy
378,Crime
2322,Comedy
2322,Crime
2322,Drama
9819,Drama
3179,Animation
3179,Comedy
4232,Crime
4232,Horror
4232,Mystery
9361,Action
9361,Adventure
9361,Drama
9361,History
9361,Romance
9361,War
2928,Comedy
2928,Drama
2928,Fantasy
10549,Drama
8818,History
8818,Drama
8818,Music
36040,Adventure
36040,Drama
9415,Action
9415,Drama
9415,Mystery
9415,Thriller
9415,Crime
9404,Action
9404,Adventure
9404,Comedy
9404,Crime
9404,Drama
9404,Thriller
9622,Action
9622,Comedy
8860,Action
