movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_count,vote_average,collection,oscar_nominations
209274,Ida,pl,25/10/2013,80,2159280.00,15298355.00,8.7,262,7.1,,0
8329,[REC],es,10/04/2007,78,1500000.00,30448000.00,8.5,954,7.1,[REC] Collection,
2654,In the Mouth of Madness,en,12/12/1994,95,8000000.00,8946600.00,8.5,307,7.1,,0
226448,In Your Eyes,en,20/04/2014,105,,,8.4,275,7.1,,
18320,The Young Victoria,en,04/03/2009,105,35000000.00,27409889.00,8.4,330,7.1,,0
97365,Rust and Bone,fr,17/05/2012,123,15400000.00,25762027.00,8.4,438,7.1,,2
14748,Boy A,en,28/10/2007,100,,,8.4,155,7.1,,0
15067,"The Good, The Bad, The Weird",ko,16/07/2008,130,10000000.00,44261209.00,8.2,196,7.1,,0
245168,Suffragette,en,16/10/2015,106,14000000.00,16002420.00,8.1,440,7.1,,0
6615,Lars and the Real Girl,en,12/10/2007,106,12000000.00,11293663.00,8,517,7.1,,1
837,Videodrome,en,04/02/1983,87,5952000.00,2120439.00,7.9,464,7.1,,0
22494,Frequently Asked Questions About Time Travel,en,24/04/2009,83,,,7.9,189,7.1,,
8923,Green Street Hooligans,en,09/09/2005,109,,,7.8,652,7.1,Green Street Hooligans Collection,0
11450,Quiz Show,en,16/09/1994,133,31000000.00,24822619.00,7.8,262,7.1,,4
11153,National Lampoon's Vacation,en,28/07/1983,98,15000000.00,61399552.00,7.7,412,7.1,National Lampoon's Vacation Collection,0
15196,Clue,en,13/12/1985,94,15000000.00,14643997.00,7.7,377,7.1,,0
140,Bad Education,es,19/03/2004,106,5000000.00,40266982.00,7.7,223,7.1,,1
48034,Little White Lies,fr,20/10/2010,154,25000000.00,48531470.00,7.6,396,7.1,,0
11934,The Hudsucker Proxy,en,11/03/1994,111,40000000.00,2816518.00,7.6,280,7.1,,0
5919,The Towering Inferno,en,14/12/1974,159,14000000.00,116000000.00,7.5,230,7.1,,0
11646,Gallipoli,en,13/08/1981,112,3000000.00,11740000.00,7.4,111,7.1,,0
713,The Piano,en,19/05/1993,121,7000000.00,116700000.00,7.4,290,7.1,,0
16052,Selena,en,21/03/1997,127,20000000.00,60000000.00,7.4,115,7.1,,0
206563,Trash,pt,09/10/2014,112,,,7.3,243,7.1,,
20312,Interstate 60,en,13/04/2002,116,7000000.00,8449.00,7.3,136,7.1,,0
11687,The Visitors,fr,27/01/1993,107,50000000.00,659810.00,7.3,433,7.1,The Visitors Collection,0
15384,Red Cliff Part II,zh,07/01/2009,136,80000000.00,121059225.00,7.3,110,7.1,Red Cliff Collection,
468,My Own Private Idaho,en,17/10/1991,104,2500000.00,6407514.00,7.3,218,7.1,,0
16307,The Wicker Man,en,01/12/1973,99,810000.00,528514.00,7.2,313,7.1,,0
760,The Mad Adventures of Rabbi Jacob,fr,17/10/1973,100,,,7.2,183,7.1,,0
759,Gentlemen Prefer Blondes,en,14/07/1953,91,,,7.2,169,7.1,,
10860,Steel Magnolias,en,15/11/1989,119,15000000.00,96759512.00,7.1,146,7.1,,1
45958,Biutiful,es,20/10/2010,148,,,7.1,299,7.1,,2
25846,Baarìa,it,02/09/2009,150,,,7.1,124,7.1,,
157370,Kill Your Darlings,en,04/10/2013,104,,,7.1,455,7.1,,0
